Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract
10,Holger H. Hoos;Kai Renz;Marko Görg,GUIDO/MIR - an Experimental Musical Information Retrieval System based on GUIDO Music Notation.,2001,https://doi.org/10.5281/zenodo.1417517,"Holger H. Hoos, ",[TODO] Add abstract here.
11,Andreas Kornstädt,The JRing System for Computer-Assisted Musicological Analysis.,2001,https://doi.org/10.5281/zenodo.1416100,"Andreas Kornstädt, Arbeitsbereich Softwaretechnik (SWT), Fachbereich Informatik, Universität Hamburg",[TODO] Add abstract here.
12,Adam Lindsay;Youngmoo Kim,"Adventures in Standardization, or How We Learned to Stop Worrying and Love MPEG-7.",2001,https://doi.org/10.5281/zenodo.1418071,"Adam Lindsay, Computing Department, Lancaster University;Youngmoo Kim, MIT Media Lab",[TODO] Add abstract here.
13,Colin Meek,Thematic Extractor.,2001,https://doi.org/10.5281/zenodo.1414828,"Colin Meek, University of Michigan;William P. Birmingham, University of Michigan",[TODO] Add abstract here.
14,Takuichi Nishimura,Music Signal Spotting Retrieval by a Humming Query Using Start Frame Feature Dependent Continuous Dynamic Programming.,2001,https://doi.org/10.5281/zenodo.1417191,"Takuichi Nishimura, Real World Computing Partnership / National Institute of Advanced Industrial Science and Technology;J. Xin Zhang, Media Drive Co.;Hiroki Hashiguchi, Real World Computing Partnership;Masataka Goto, National Institute of Advanced Industrial Science and Technology / PRESTO, JST;Junko Takita, Mathematical Systems Inc.;Ryuichi Oka, Real World Computing Partnership",[TODO] Add abstract here.
15,Donncha Ó Maidín,Score Processing For MIR.,2001,https://doi.org/10.5281/zenodo.1416442,"Donncha S. Ó Maidín, Centre for Computational Musicology and Computer Music, Department of Computer Science and Information Systems, University of Limerick;Margaret Cahill, Centre for Computational Musicology and Computer Music, Department of Computer Science and Information Systems, University of Limerick",[TODO] Add abstract here.
16,François Pachet,A Naturalist Approach to Music File Name Analysis.,2001,https://doi.org/10.5281/zenodo.1415856,"François Pachet, Sony CSL-Paris;Damien Laigre, Sony CSL-Paris",[TODO] Add abstract here.
17,Emanuele Pollastri,An Audio Front End for Query-by-Humming Systems.,2001,https://doi.org/10.5281/zenodo.1415056,"Goffredo Haus, L.I.M.-Laboratorio di Informatica Musicale, Dipartimento di Scienze dell’Informazione, Università Statale di Milano;Emanuele Pollastri, L.I.M.-Laboratorio di Informatica Musicale, Dipartimento di Scienze dell’Informazione, Università Statale di Milano",[TODO] Add abstract here.
18,Christopher Raphael,Automated Rhythm Transcription.,2001,https://doi.org/10.5281/zenodo.1416122,"Christopher Raphael, Department of Mathematics and Statistics, University of Massachusetts, Amherst",[TODO] Add abstract here.
19,Josh Reiss,Efficient Multidimensional Searching Routines.,2001,https://doi.org/10.5281/zenodo.1415546,"Josh Reiss, Department of Electronic Engineering, Queen Mary, University of London;Jean-Julien Aucouturier, Sony Computer Science Laboratory;Mark Sandler, Department of Electronic Engineering, Queen Mary, University of London",[TODO] Add abstract here.
20,Richard P. Smiraglia,Musical Works as Information Retrieval Entities: Epistemological Perspectives.,2001,https://doi.org/10.5281/zenodo.1416512,"Richard P. Smiraglia, Palmer School of Library and Information Science, Long Island University",[TODO] Add abstract here.
21,George Tzanetakis,Automatic Musical Genre Classification of Audio Signals.,2001,https://doi.org/10.5281/zenodo.1415058,"George Tzanetakis, Computer Science Department;Georg Essl, Computer Science Dep.;Perry Cook, Computer Science and Music Dep.",[TODO] Add abstract here.
